productName,productDescription,grams,calories,proteins,fats,carbs,ingredients,unit_price,categoryName
"Чизбургер с говяжьей котлетой и плавленым сыром «Грабли»","Классический бургер с говяжьей котлетой, ломтиком сыра чеддер и маринованными огурцами в мягкой булочке с кунжутом. В составе есть лук и фирменный соус на основе майонеза и горчицы.",125,264,9.4,14.3,24.3,"-",299,"Фастфуд"
"Макароны с сырным соусом Mac&Cheese Карбонара с беконом","Макароны с сырным соусом и беконом быстро готовятся с молоком и сливочным маслом. Их можно разделить на две порции или съесть за раз",143,107,12.4,4.7,64.8,"Макаронные изделия (группа А высший сорт): мука из твёрдой пшеницы (дурум) для макаронных изделий высшего сорта, вода питьевая. Соус «Сырный Карбонара с беконом» быстрого приготовления: сырный продукт сухой (сыр с м. д. жиры в сухом веществе 50%, мальтодекстрин, эмульгирующая соль (Е339Н), соль, бекон сушёный, гидролизат соевого белка, натуральные ароматизаторы, перец черный, белый.",107,"Макароны, крупы и мука; Популярное"
